business_id,business_name,weighted_rating,hours_of_today,longitude,latitude
7Xw_vv-ekUL2sTqipnKT0g,Buffalo Wild Wings,40,0:0-23:0,-115.171677,36.05446
5PP6BwtNYlPARHApB9lzcQ,Blue Ox Tavern,47,0:0-23:0,-115.2217,36.142636
tlZmJBQ9UWkaI0Zce_KFhg,T-Bird Lounge & Restaurant,43,0:0-23:0,-115.1188775,36.0176758
59YbAeuiz0isJtRNKATTKw,Bacon Bar,53,0:0-23:0,-115.2173158,36.2234643
a2OCO4yHDEifuKzjor_yRQ,PT's,29,0:0-23:0,-115.0991397,36.0718009
E67gGK8yOn9kkNzx8FzQKA,Buffalo Wild Wings,45,0:0-23:0,-115.3142768,36.1120909
duw-3Aj7gAKbQG-isS5UtQ,Veranda,66,6:30-22:0,-115.17422274,36.0904354064
5D3cAYturwbEqnj52b1Tmw,PT's,33,0:0-23:0,-115.208489,36.0922493
UVVjnJ67fm9EbNPFK5ZgRQ,Dispensary Lounge,52,0:0-23:0,-115.117750891,36.0997175715
C1fyoypOblHhDzSxXTRWKg,BJ'S Cocktail Lounge South,39,0:0-23:0,-115.1910902,36.0677156
Gp1NcYpvQpqjcY-RDC31Lw,Sunrise Casablanca,32,0:0-23:0,-115.0346388,36.1597521
ikq8TRpHxGxfBVFpmsnaNQ,Courthouse Bar & Grill,30,6:30-19:0,-115.1454397,36.1670561
CMJqS9j_FB_lSgMhnl_NFQ,Hammer & Ales,39,0:0-23:0,-115.1928917,36.0863213
V4Y95oKNP4GiXdmfe_sRfQ,Talon Club,15,0:0-23:0,-115.1738726,36.1097544
pd3uep0D-vKWHsLLlCu6qQ,Stage Door,65,0:0-23:0,-115.168465239,36.115331475
ejcVeQztxXY6NX2O2SE0Rw,PT's,35,0:0-23:0,-115.2798389,36.1194254
